appname,appid,subprotoid,subprotoname,agetype,acctype,common,bpon_common
Thunder,1,106,Thunder,0,0,N,Y
Thunder,1,3024,Thunder_Encrypted,0,0,N,Y
Thunder,1,3033,Thunder_HTTP_Download,0,0,N,Y
BitTorrent,1,11,BitTorrent_Data_TCP,0,0,N,Y
BitTorrent,1,12,BitTorrent_Tracker_UDP,0,0,N,Y
BitTorrent,1,13,BitTorrent_Tracker_HTTP,0,0,N,Y
BitTorrent,1,14,BitTorrent_DHT_Control,0,0,N,Y
BitTorrent,1,16,BitTorrent_Data_UDP,0,0,N,Y
BitTorrent,1,17,BitTorrent_Data_UDP_Encrypted,0,0,N,Y
BitTorrent,1,18,BitTorrent_Data_TCP_Encrypted,0,0,N,Y
BitTorrent,1,21,BitTorrent_Data_HTTP,0,0,N,Y
BitTorrent,1,1802,BitTorrent_UTP,0,0,N,Y
WangZheRongYao,2,5315,WangZheRongYao,0,0,Y,Y
WangZheRongYao,2,7575,WangZheRongYao_LongLinks,0,0,Y,Y
WangZheRongYao,2,9310,WangZheRongYao_UDPHeartBeat,0,0,Y,Y
WangZheRongYao,2,9918,WangZheRongYao_Game,0,0,Y,Y
WOW,2,1776,WOW,0,0,Y,N
WOW,2,346,WOW_HTTP,0,0,Y,N
LOL,2,2924,LOL,0,0,Y,N
LOL,2,8060,LOL_HeartBeat,0,0,Y,N
LOL,2,9886,LOL_Voice,0,0,Y,N
LOL,2,9891,LOL_Game,0,0,Y,N
CrossFire,2,37570,CrossFire,0,0,Y,N
CrossFire,2,416,CrossFire_GameData,0,0,Y,N
Fortnite,2,7739,Fortnite,0,0,Y,N
Fortnite,2,37902,Fortnite_Game,0,0,Y,N
StarCraft,2,3316,StarCraft,0,0,Y,N
PUBG,2,7845,PUBG,0,0,Y,N
PUBG,2,9657,PUBG_Gaming,0,0,Y,N
OverWatch,2,6744,OverWatch,0,0,Y,N
OverWatch,2,9898,OverWatch_HeartBeat,0,0,Y,N
OverWatch,2,37534,OverWatch_Game,0,0,Y,N
DiWuRenGe,2,8300,DiWuRenGe,0,0,Y,N
DiWuRenGe,2,37885,DiWuRenGe_Game,0,0,Y,N
ClashRoyale,2,6176,ClashRoyale,0,0,Y,N
ClashRoyale,2,37977,ClashRoyale_Game,0,0,Y,N
QQCar,2,683,QQCar,0,0,Y,N
QQCar,2,37878,QQCar_Game,0,0,Y,N
FreeFire,2,7913,FreeFire,0,0,Y,N
FreeFire,2,38678,FreeFire_Game,0,0,Y,N
WorldOfTanks,2,5972,World_Of_Tanks,0,0,Y,N
WorldOfTanks,2,37568,World_Of_Tanks_Game,0,0,Y,N
WorldOfWarships,2,9921,WorldOfWarships,0,0,Y,N
WorldOfWarships,2,38807,WorldOfWarships_Game,0,0,Y,N
RainbowSix,2,9724,RainbowSix,0,0,Y,N
RainbowSix,2,38862,RainbowSix_Game,0,0,Y,N
Minecraft,2,3616,Minecraft,0,0,Y,N
Minecraft,2,37996,Minecraft_Game,0,0,Y,N
HearthStone,2,6304,HearthStone,0,0,Y,N
HearthStone,2,38648,HearthStone_Game,0,0,Y,N
CSGO,2,866,Valve_Steam_Tracker_UDP,0,0,Y,N
CSGO,2,9907,Valve_Steam_Gaming,0,0,Y,N
GTA5,2,6445,GTA5,0,0,Y,N
GTA5,2,37536,GTA5_Game,0,0,Y,N
ApexLegends,2,9754,ApexLegends,0,0,Y,N
ApexLegends,2,38113,ApexLegends_Game,0,0,Y,N
Dota2,2,2181,Dota2,0,0,Y,N
Dota2,2,37542,Dota2_Game,0,0,Y,N
Warface,2,9706,Warface,0,0,Y,N
Destiny2,2,9972,Destiny2,0,0,Y,N
RocketLeague,2,38210,RocketLeague,0,0,Y,N
RocketLeague,2,38896,RocketLeague_Game,0,0,Y,N
HePingJingYing,2,7832,HePingJingYing,0,0,Y,Y
HePingJingYing,2,8063,HePingJingYing_HeartBeat,0,0,Y,Y
HePingJingYing,2,8411,HePingJingYing_UDPHeartBeat,0,0,Y,Y
HePingJingYing,2,37223,HePingJingYing_Game,0,0,Y,Y
FIFA20,2,6243,EaFIFA,0,0,Y,N
FIFA20,2,38259,FIFA20,0,0,Y,N
FIFA20,2,38799,FIFA20_Game,0,0,Y,N
FIFA20,2,38980,EaFIFA_Game,0,0,Y,N
PlayStation,2,1368,PlayStation_Comm,1,1,Y,N
PlayStation,2,1773,PlayStation_HTTPS,1,1,Y,N
PlayStation,2,1369,PlayStation_Download,1,1,Y,N
Xbox,2,1370,Xbox,0,0,Y,N
Xbox,2,1372,Xbox_Video,0,0,Y,N
Xbox,2,2518,Xbox_Live,0,0,Y,N
WarThunder,2,37436,WarThunder,0,0,Y,N
WarThunder,2,40957,WarThunder_Game,0,0,Y,N
H1Z1,2,6970,H1Z1,0,0,Y,N
HerosofStrom,2,9331,HeroesOfTheStorm,0,0,Y,N
HerosofStrom,2,38571,HeroesOfTheStorm_Game,0,0,Y,N
CallOfDuty,2,3071,CallOfDuty,0,0,Y,N
CallOfDuty,2,243,CallOfDuty_Game,0,0,Y,N
Warframe,2,9668,Warframe,0,0,Y,N
Warframe,2,38700,Warframe_Game,0,0,Y,N
TeamFortressClassic,2,869,Team_Fortress_Classic_GameData,0,0,Y,N
HuangYeXingDong,2,7577,HuangYeXingDong,0,0,Y,N
HuangYeXingDong,2,37869,HuangYeXingDong_Game,0,0,Y,N
WeFire,2,3504,WeFire,0,0,Y,N
LeiTingZhanJi,2,3495,LeiTingZhanJi,0,0,Y,N
QuanMinFeiJiDaZhan,2,3496,QuanMinFeiJiDaZhan,0,0,Y,N
PaoPaoKart,2,1868,PaoPaoKart,0,0,Y,N
PaoPaoKart,2,38018,PaoPaoKart_Mobile,0,0,Y,N
Asphalt9,2,3078,Asphalt,0,0,Y,N
BengHuai3,2,8504,BengHuai3,0,0,Y,N
QQDancer,2,5662,QQDancer,0,0,Y,N
QQDancer,2,37990,QQDancer_Game,0,0,Y,N
ClashOfClans,2,3382,ClashOfClans,0,0,Y,N
ClashOfClans,2,37976,ClashOfClans_Game,0,0,Y,N
LuanShiWangZhe,2,8720,LuanShiWangZhe,0,0,Y,N
LuanShiWangZhe,2,37935,LuanShiWangZhe_Game,0,0,Y,N
Smite,2,38710,Smite,0,0,Y,N
Smite,2,38712,Smite_Game,0,0,Y,N
FarCry,2,38756,FarCry,0,0,Y,N
HeroesGenerals,2,38702,HeroesGenerals,0,0,Y,N
HeroesGenerals,2,38719,HeroesGenerals_Game,0,0,Y,N
Rust,2,38721,Rust,0,0,Y,N
Rust,2,38722,Rust_Game,0,0,Y,N
Unturned,2,38723,Unturned,0,0,Y,N
BattleField5,2,38752,BattleField5,0,0,Y,N
BattleField5,2,38758,BattleField5_Game,0,0,Y,N
DyingLight,2,38726,DyingLight,0,0,Y,N
TotalWarWarhammer2,2,38750,TotalWarWarhammer2,0,0,Y,N
DotaUnderlords,2,38751,DotaUnderlords,0,0,Y,N
CG_MiGuPlay,2,3183,MiGuPlay,1,1,Y,N
CG_TianYiYunYouXi,2,38198,TianYiYunYouXi,1,1,Y,N
CG_WoChangYou,2,38585,WoChangYou,1,1,Y,N
CG_TencentStart,2,39110,TencentStart,1,1,Y,N
CG_WangYiYunYouXi,2,38860,WangYiYunYouXi,1,1,Y,N
QIYI,4,802,QIYI_HTTP_Video,0,0,Y,Y
QIYI,4,816,QIYI_HTTP_Control,0,0,Y,Y
QIYI,4,817,QIYI_Others,0,0,Y,Y
QIYI,4,2635,QIYI_NonHTTP_Video,0,0,Y,Y
QIYI,4,3153,QIYI_First,0,0,Y,Y
QIYI,4,3677,QIYI_Browsing,0,0,Y,Y
QIYI,12,6164,QIYI_Live,0,0,Y,Y
QIYI,4,116,PPStream_UDP,0,0,Y,Y
QIYI,4,3604,PPStream_Browsing,0,0,Y,Y
QQLive,4,110,QQLive_Video_TCP,0,0,Y,Y
QQLive,4,111,QQLive_Video_UDP,0,0,Y,Y
QQLive,4,1645,QQLive_HTTP_Video,0,0,Y,Y
QQLive,4,1675,QQLive_Others,0,0,Y,Y
QQLive,4,3603,QQLive_Browsing,0,0,Y,Y
QQLive,12,6056,QQLive_Live,0,0,Y,Y
QQLive,4,8701,QQLive_HeartBeat_Video,0,0,Y,Y
QQLive,4,9138,QQLive_Video_Kvcollect,0,0,Y,Y
YouKu,4,762,YouKu_Video,0,0,Y,Y
YouKu,4,763,YouKu_Upload,0,0,Y,Y
YouKu,4,3049,YouKu_Other,0,0,Y,Y
YouKu,4,3058,YouKu_HTTP_Video,0,0,Y,Y
YouKu,4,3606,YouKu_Browsing,0,0,Y,Y
YouKu,12,6148,YouKu_Live,0,0,Y,Y
YouKu,4,18989,Cibntv,0,0,Y,Y
YouKu,4,6669,Cibntv_HTTP_Video,0,0,Y,Y
Bilibili,4,5735,Bilibili_HTTP_Video,0,0,Y,N
Bilibili,4,10375,Bilibili,0,0,Y,N
Bilibili,12,6334,Bilibili_Live,0,0,Y,N
DouYin,4,7530,DouYin,0,0,Y,N
DouYin,4,7836,DouYin_HTTP_Video,0,0,Y,N
DouYin,12,37911,DouYin_OpenLive,0,0,Y,N
DouYin,12,38490,DouYin_Live,0,0,Y,N
NowZhiBo,4,8721,NowZhiBo,0,0,Y,N
NowZhiBo,4,8798,NowZhiBo_Upload,0,0,Y,N
NowZhiBo,4,8800,NowZhiBo_HTTP_Video,0,0,Y,N
NowZhiBo,12,8833,NowZhiBo_Live,0,0,Y,N
HuoShanXiaoShiPin,4,7534,HuoShanXiaoShiPin,0,0,Y,N
HuoShanXiaoShiPin,4,7535,HuoShanXiaoShiPin_HTTP_Video,0,0,Y,N
KuaiShou,4,6211,KuaiShou_HTTP_Video,0,0,Y,N
KuaiShou,4,8391,KuaiShou_Upload,0,0,Y,N
KuaiShou,4,10003,KuaiShou,0,0,Y,N
KuaiShou,4,40971,KuaiShou_NonHTTP_Video,0,0,Y,N
KuaiShou,12,7077,KuaiShou_Live,0,0,Y,N
MangGuoTV,4,2033,MangGuoTV,0,0,Y,N
MangGuoTV,4,5714,MangGuoTV_HTTP_Video,0,0,Y,N
MangGuoTV,4,5718,MangGuoTV_NonHTTP_Video,0,0,Y,N
DouYuTV,4,10087,DouYuTV,0,0,Y,N
DouYuTV,12,6187,DouYuTV_Live,0,0,Y,N
HuYa,4,10339,HuYa,0,0,Y,N
HuYa,4,39303,HuYa_Video,0,0,Y,N
HuYa,12,6182,HuYa_Live,0,0,Y,N
CNTV,4,823,CCTV_LiveTV,0,0,Y,N
CNTV,4,824,CCTV_HTTP_Video,0,0,Y,N
CNTV,4,2217,CCTV_Browsing,0,0,Y,N
CNTV,4,3660,CCTV_Other,0,0,Y,N
CNTV,4,6674,CCTV5,0,0,Y,N
XiGuaShiPin,4,7532,XiGuaShiPin,0,0,Y,N
XiGuaShiPin,12,39268,XiGuaShiPin_Live,0,0,Y,N
Weipaitang,12,14841,Weipaitang,0,0,Y,N
XiaoHongShu,4,10256,XiaoHongShu,0,0,Y,N
XiaoHongShu,4,39265,XiaoHongShu_HTTP_Video,0,0,Y,N
TanTan,4,16273,TanTan,0,0,Y,N
JinRiTouTiao,4,2392,JinRiTouTiao_XinWen,0,0,Y,N
JinRiTouTiao,4,2792,JinRiTouTiao,0,0,Y,N
VIPKID,6,9630,VIPKID,0,0,Y,N
VIPKID,6,38045,VIPKID_OneToMore,0,0,Y,N
VIPKID,6,38487,VIPKID_OneToOne,0,0,Y,N
VIPKID,6,38488,VIPKID_Replay,0,0,Y,N
VIPKID,6,39203,VIPKID_KeJian,0,0,Y,N
YuanFuDao,6,19460,YuanFuDao,0,0,Y,N
YuanFuDao,6,38451,YuanFuDao_Live,0,0,Y,N
YuanFuDao,6,38492,YuanFuDao_Replay,0,0,Y,N
YuanFuDao,6,5803,YuanTiKu,0,0,Y,N
TencentClass,6,8136,TencentClass,0,0,Y,N
TencentClass,6,39479,TencentClass_Live,0,0,Y,N
51Talk,6,14344,51Talk,0,0,Y,N
51Talk,6,38047,51Talk_Live,0,0,Y,N
51Talk,6,39193,51Talk_Replay,0,0,Y,N
VipJr,6,37928,VipJr,0,0,Y,N
XueErSiWangXiao,6,17953,XueErSiWangXiao,0,0,Y,N
XueErSiWangXiao,6,38046,XueErSiWangXiao_Live,0,0,Y,N
XueErSiWangXiao,6,38509,XueErSiWangXiao_Replay,0,0,Y,N
PingAnHaoXueYingYu,6,14796,PingAnHaoXueYingYu,0,0,Y,N
iTutorGroup,6,37915,iTutorGroup,0,0,Y,N
iTutorGroup,6,38914,iTutorGroup_Live,0,0,Y,N
ZuoYeBang,6,10277,ZuoYeBang,0,0,Y,N
GaoTuKeTang,6,39002,GaoTuKeTang,0,0,Y,N
GaoTuKeTang,6,38240,WenZaiZhiBo,0,0,Y,N
Koolearn,6,17845,Koolearn,0,0,Y,N
YouDaoJingPinKe,6,38246,YouDaoJingPinKe,0,0,Y,N
Llsapp,6,15830,Llsapp,0,0,Y,N
QiYeWelink,8,38155,QiYeWelink,0,0,Y,Y
QiYeWelink,8,38156,QiYeWelink_VoIP,0,0,Y,Y
Zoom,8,13776,Zoom,0,0,Y,Y
Zoom,8,39043,Zoom_Video,0,0,Y,Y
DingDing,8,1411,DingDing,0,0,Y,Y
DingDing,8,38151,DingDing_VoIP,0,0,Y,Y
DingDing,8,38132,DingDing_Live,0,0,Y,Y
QiYeWeiXin,8,8641,QiYeWeiXin,0,0,Y,Y
TencentMeeting,8,38123,TencentMeeting,0,0,Y,Y
TencentMeeting,8,38149,TencentMeeting_VoIP,0,0,Y,Y
WuYingCloudDesktop,8,40890,WuYingCloudDesktop,0,0,Y,Y
WeiXin,10,1837,WeiXin,0,0,Y,N
WeiXin,10,3752,WeiXin_VoIP,0,0,Y,N
WeiXin,10,2794,WeiXin_Pay,0,0,Y,N
WeiXin,10,3292,WeiXin_Browsing_HTTP,0,0,Y,N
WeiXin,10,9472,WeiXin_Pay_Action,0,0,Y,N
WeiXin,10,38908,WeiXin_ImgVideoMsg,0,0,Y,N
WeiXinLive,4,39476,WeiXin_ShiPinHao_Video,0,0,Y,N
WeiXinLive,12,38929,WeiXin_Live,0,0,Y,N
QQ,10,184,QQ_IM,0,0,Y,Y
QQ,10,185,QQ_Media,0,0,Y,Y
QQ,10,186,QQ_IM_HTTP,0,0,Y,Y
QQ,10,2076,QQStore,0,0,Y,Y
Alipay,11,2967,Alipay,0,0,Y,N
PinDuoDuoLive,12,38989,PinDuoDuo_Live,0,0,Y,N
TaoBaoLive,12,8830,TaoBao_Live,0,0,Y,N
BaiDuZhiBo,12,39302,BaiDuZhiBo,0,0,Y,N
JingDongShangChengLive,12,8829,JingDongShangCheng_Live,0,0,Y,N
YYLive,12,6195,YY_Live,0,0,Y,N
XiaoMi_AppStore,13,2800,XiaoMi_AppStore,0,0,Y,N
HuaWei_AppStore,13,2165,HuaWei_AppStore,0,0,Y,N
OPPO_AppStore,13,10382,OPPO_AppStore,0,0,Y,N
Vivo_AppStore,13,10379,Vivo_AppStore,0,0,Y,N
AppStore,13,985,AppStore,0,0,Y,N
AppStore,13,1929,AppStore_Download,0,0,Y,N
YingYongBao,13,10170,YingYongBao,0,0,Y,N
MeiZuYingYongShangDian,13,9656,MeiZuYingYongShangDian,0,0,Y,N
Samsungapps,13,5115,Samsungapps,0,0,Y,N
YuanShen,2,38894,YuanShen,0,0,Y,N
YuanShen,2,38895,YuanShen_Game,0,0,Y,N
ZhuBaoYi,4,39306,ZhuBaoYi,0,0,Y,N
DuiZhuang,12,38077,DuiZhuangZhiBo,0,0,Y,N
TianTianJianBao,12,39351,TianTianJianBao,0,0,Y,N
FeiCuiWangChao,12,39403,FeiCuiWangChao,0,0,Y,N
YiJianZhiBo,12,40661,YiJianZhiBo,0,0,Y,N
WanWuDeZhi,12,39401,WanWuDeZhi,0,0,Y,N
TianYiYunHuiYi,8,38116,TianYiMeeting,0,0,Y,N
TianYiYunHuiYi,8,39272,TianYiMeeting_Voip,0,0,Y,N
YiDongYunShiXun,8,38124,YunShiXun,0,0,Y,N
YiDongYunShiXun,8,38146,YunShiXun_VoIP,0,0,Y,N
