appname,appid,subprotoid,subprotoname,agetype,acctype,common,ROSUNION:GAME,TURKCELL2
WangZheRongYao,2,5315,WangZheRongYao,0,0,Y,N,N
WangZheRongYao,2,7575,WangZheRongYao_LongLinks,0,0,Y,N,N
WangZheRongYao,2,9310,WangZheRongYao_UDPHeartBeat,0,0,Y,N,N
WOW,2,1776,WOW,0,0,Y,Y,N
WOW,2,346,WOW_HTTP,0,0,Y,Y,N
LOL,2,2924,LOL,0,0,Y,Y,N
LOL,2,8060,LOL_HeartBeat,0,0,Y,Y,N
LOL,2,9886,LOL_Voice,0,0,Y,Y,N
LOL,2,9891,LOL_Game,0,0,Y,Y,N
Fortnite,2,7739,Fortnite,0,0,Y,Y,N
Fortnite,2,37902,Fortnite_Game,0,0,Y,Y,N
PUBG,2,7845,PUBG,0,0,Y,Y,N
PUBG,2,9657,PUBG_Gaming,0,0,Y,Y,N
OverWatch,2,6744,OverWatch,0,0,Y,Y,N
OverWatch,2,9898,OverWatch_HeartBeat,0,0,Y,Y,N
OverWatch,2,37534,OverWatch_Game,0,0,Y,Y,N
DiWuRenGe,2,8300,DiWuRenGe,0,0,Y,N,N
DiWuRenGe,2,37885,DiWuRenGe_Game,0,0,Y,N,N
ClashRoyale,2,6176,ClashRoyale,0,0,Y,N,N
ClashRoyale,2,37977,ClashRoyale_Game,0,0,Y,N,N
QQCar,2,683,QQCar,0,0,Y,N,N
QQCar,2,37878,QQCar_Game,0,0,Y,N,N
FreeFire,2,7913,FreeFire,0,0,Y,N,N
WorldOfTanks,2,5972,World_Of_Tanks,0,0,Y,Y,N
WorldOfTanks,2,37568,World_Of_Tanks_Game,0,0,Y,Y,N
WorldOfWarships,2,9921,WorldOfWarships,0,0,Y,Y,N
WorldOfWarships,2,38807,WorldOfWarships_Game,0,0,Y,Y,N
RainbowSix,2,9724,RainbowSix,0,0,Y,Y,N
RainbowSix,2,38862,RainbowSix_Game,0,0,Y,Y,N
Minecraft,2,3616,Minecraft,0,0,Y,Y,N
Minecraft,2,37996,Minecraft_Game,0,0,Y,Y,N
HearthStone,2,6304,HearthStone,0,0,Y,Y,N
HearthStone,2,38648,HearthStone_Game,0,0,Y,Y,N
CSGO,2,866,Valve_Steam_Tracker_UDP,0,0,Y,Y,N
CSGO,2,9907,Valve_Steam_Gaming,0,0,Y,Y,N
GTA5,2,6445,GTA5,0,0,Y,Y,N
GTA5,2,37536,GTA5_Game,0,0,Y,Y,N
ApexLegends,2,9754,ApexLegends,0,0,Y,Y,N
ApexLegends,2,38113,ApexLegends_Game,0,0,Y,Y,N
Dota2,2,2181,Dota2,0,0,Y,Y,N
Dota2,2,37542,Dota2_Game,0,0,Y,Y,N
Warface,2,9706,Warface,0,0,Y,Y,N
Destiny2,2,9972,Destiny2,0,0,Y,Y,N
RocketLeague,2,38210,RocketLeague,0,0,Y,Y,N
RocketLeague,2,38896,RocketLeague_Game,0,0,Y,Y,N
HePingJingYing,2,7832,HePingJingYing,0,0,Y,Y,N
HePingJingYing,2,8063,HePingJingYing_HeartBeat,0,0,Y,Y,N
HePingJingYing,2,8411,HePingJingYing_UDPHeartBeat,0,0,Y,Y,N
HePingJingYing,2,37223,HePingJingYing_Game,0,0,Y,Y,N
FIFA20,2,6243,EaFIFA,0,0,Y,Y,N
FIFA20,2,38259,FIFA20,0,0,Y,Y,N
FIFA20,2,38799,FIFA20_Game,0,0,Y,Y,N
FIFA20,2,38980,EaFIFA_Game,0,0,Y,Y,N
PlayStation,2,1368,PlayStation_Comm,1,1,Y,N,N
PlayStation,2,1773,PlayStation_HTTPS,1,1,Y,N,N
PlayStation,2,1369,PlayStation_Download,1,1,Y,N,N
Xbox,2,1370,Xbox,0,0,Y,N,N
Xbox,2,1372,Xbox_Video,0,0,Y,N,N
CallOfDuty,2,3071,CallOfDuty,0,0,Y,N,N
CallOfDuty,2,243,CallOfDuty_Game,0,0,Y,N,N
CG_NvidiaGeforceNow,2,38587,NvidiaGeforceNow,1,1,Y,N,N
Netflix,4,1778,Netflix,0,0,Y,N,N
Netflix,4,6446,Netflix_NonHTTP_Video,0,0,Y,N,N
YouTube,4,3567,YouTube_NonHTTP_Video,0,0,Y,N,N
Facebook,4,1596,Facebook_QUIC,0,0,Y,N,N
Facebook,4,3050,Facebook_HTTP_Video,0,0,Y,N,N
Facebook,4,3158,Facebook_QTIC_Video,0,0,Y,N,N
Facebook,4,3519,Facebook_Video,0,0,Y,N,N
Facebook,4,3695,Facebook_MultiMedia,0,0,Y,N,N
Zoom,8,13776,Zoom,0,0,Y,Y,N
Zoom,8,39043,Zoom_Video,0,0,Y,Y,N
Skype,8,4,Skype_IM,0,0,Y,N,N
Skype,8,5,Skype_PctoPhone,0,0,Y,N,N
Skype,8,6,Skype_Login,0,0,Y,N,N
Skype,8,7,Skype_HTTP,0,0,Y,N,N
Skype,8,8,Skype_HighSpeedTransfer,0,0,Y,N,N
Skype,8,1462,Skype_Login_SSL,0,0,Y,N,N
Skype,8,1602,Skype_PCtoPC,0,0,Y,N,N
Skype,8,1603,Skype_Signal,0,0,Y,N,N
Skype,8,2582,Skype_PCtoPC_Voice,0,0,Y,N,N
Skype,8,3046,Skype_Video_Message,0,0,Y,N,N
Skype,8,4062,SkypeQik,0,0,Y,N,N
Hangouts,8,3101,Hangouts_Voip,0,0,Y,N,N
Hangouts,8,3103,Hangouts_IM,0,0,Y,N,N
MicrosoftTeams,8,9823,MicrosoftTeams,0,0,Y,N,N
WebEx,8,2173,WebEx,0,0,Y,N,Y
WebEx,8,39007,WebEx_VoIP,0,0,Y,N,Y
MobileLegends,2,1018,MobileLegends,0,0,Y,N,Y
MobileLegends,2,38861,MobileLegends_Game,0,0,Y,N,Y
MobileLegends,2,8322,MobileLegends_Update,0,0,Y,N,Y
GoogleClassroom,8,37609,GoogleClassroom,0,0,Y,N,Y
WhatsApp,8,1190,WhatsApp_Video_VoIP,0,0,Y,N,Y
WhatsApp,8,1403,WhatsApp_Message,0,0,Y,N,Y
WhatsApp,8,1404,WhatsApp_HTTP,0,0,Y,N,Y
WhatsApp,8,2685,WhatsApp_VoIP,0,0,Y,N,Y
WhatsApp,8,3720,WhatsApp_FileTransfer,0,0,Y,N,Y
WhatsApp,8,4012,WhatsApp_Download,0,0,Y,N,Y